NMFS_DNA_ID_use,SAMPLE_ID,GENUS,SPECIES,LENGTH,WEIGHT,REPORTED_LIFE_STAGE,COLLECTION_DATE,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,inversion_call,Water_Name,Site,Treatment,Treatment.Temp,Start.Temp_C,LOE.Temp_C
M145536,BC-48,Oncorhynchus,mykiss,201,95.3,Juvenile,8/28/24,M145536,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.8,31.1
M145537,BC-49,Oncorhynchus,mykiss,79,5.8,Juvenile,8/28/24,M145537,California,Monterey,Big Creek,AR,Big Creek,Big Sur,3,23,22.8,31.2
M145538,BC-50,Oncorhynchus,mykiss,119,16.5,Juvenile,8/28/24,M145538,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.8,31.6
M145539,BC-51,Oncorhynchus,mykiss,132,23.9,Juvenile,8/28/24,M145539,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.8,31.5
M145540,BC-52,Oncorhynchus,mykiss,110,13.9,Juvenile,8/28/24,M145540,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.8,31.5
M145541,BC-53,Oncorhynchus,mykiss,165,46.5,Juvenile,8/29/24,M145541,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.3,30.7
M145542,BC-54,Oncorhynchus,mykiss,159,43.4,Juvenile,8/29/24,M145542,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.3,30.7
M145543,BC-55,Oncorhynchus,mykiss,105,11.7,Juvenile,8/29/24,M145543,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.3,31
M145544,BC-56,Oncorhynchus,mykiss,121,18.1,Juvenile,8/29/24,M145544,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.3,30.8
M145545,BC-57,Oncorhynchus,mykiss,96,9.8,Juvenile,8/29/24,M145545,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.3,30.9
M145546,BC-58,Oncorhynchus,mykiss,89,5.5,Juvenile,8/29/24,M145546,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.3,30.9
M145547,BC-59,Oncorhynchus,mykiss,112,16.5,Juvenile,8/29/24,M145547,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.3,31.1
M145548,BC-60,Oncorhynchus,mykiss,209,96.4,Juvenile,8/29/24,M145548,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.4,30.5
M145549,BC-61,Oncorhynchus,mykiss,112,13.7,Juvenile,8/29/24,M145549,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.4,30.6
M145550,BC-62,Oncorhynchus,mykiss,109,13,Juvenile,8/29/24,M145550,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.4,30.9
M145551,BC-63,Oncorhynchus,mykiss,118,16.7,Juvenile,8/29/24,M145551,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.4,31.1
M145552,BC-64,Oncorhynchus,mykiss,125,21.1,Juvenile,8/29/24,M145552,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.4,31.1
M145553,BC-65,Oncorhynchus,mykiss,107,14,Juvenile,8/29/24,M145553,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.4,31.2
M145554,BC-66,Oncorhynchus,mykiss,115,17.2,Juvenile,8/29/24,M145554,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.4,31.2
M145555,BC-67,Oncorhynchus,mykiss,159,38.6,Juvenile,8/29/24,M145555,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.4,30.4
M145556,BC-68,Oncorhynchus,mykiss,155,32.8,Juvenile,8/29/24,M145556,California,Monterey,Big Creek,RR,Big Creek,Big Sur,2,20,20.4,30.7
M145557,BC-69,Oncorhynchus,mykiss,124,20.1,Juvenile,8/29/24,M145557,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.4,30.7
M145558,BC-70,Oncorhynchus,mykiss,150,33.3,Juvenile,8/29/24,M145558,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.4,30.7
M145559,BC-71,Oncorhynchus,mykiss,93,10.3,Juvenile,8/29/24,M145559,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.4,31.2
M145560,BC-72,Oncorhynchus,mykiss,114,15.4,Juvenile,8/29/24,M145560,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.4,31.3
M145561,BC-73,Oncorhynchus,mykiss,91,9.3,Juvenile,8/29/24,M145561,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.4,31.3
M145562,BC-74,Oncorhynchus,mykiss,89,7.9,Juvenile,8/29/24,M145562,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.2,30.3
M145563,BC-75,Oncorhynchus,mykiss,96,9.1,Juvenile,8/29/24,M145563,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.2,30.4
M145564,BC-76,Oncorhynchus,mykiss,90,7.8,Juvenile,8/29/24,M145564,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.2,31
M145565,BC-77,Oncorhynchus,mykiss,127,20.1,Juvenile,8/29/24,M145565,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.2,31.3
