"","D2_indiv","D1_indiv","logl_ratio","num_loc"
"340","M145489","M145829",-5.7583005458637,92
"341","M145489","M145830",-20.0952309487243,93
"342","M145489","M145831",-6.01917070063424,93
"343","M145489","M145832",-9.24100739911701,93
"344","M145489","M145833",-16.7715654999373,93
"345","M145489","M145834",-10.0215618752382,93
"346","M145489","M145835",-8.10536956841862,93
"347","M145489","M145836",-17.4542377607427,93
"348","M145489","M145837",-1.06695697548839,93
"349","M145489","M145838",-15.9137461001292,93
"350","M145489","M145839",-16.247959667846,92
"351","M145489","M145840",-10.4055050280145,93
"352","M145489","M145841",-15.505277558681,93
"353","M145489","M145842",-17.6040817774334,93
"354","M145489","M145843",-12.7133754384688,93
"355","M145489","M145844",-11.9378898472692,92
"356","M145489","M145845",-13.7424922897636,93
"357","M145489","M145846",-15.8549351911045,93
"358","M145489","M145847",-10.3254555938149,93
"359","M145489","M145848",-12.3775829595188,93
"360","M145489","M145849",-6.14521895929764,92
"361","M145489","M145850",-4.41794355421034,93
"362","M145489","M145851",-4.51513200850624,93
"363","M145489","M145852",-8.30159958527977,93
"364","M145489","M145853",-11.5158355559724,93
"365","M145489","M145854",-13.4203833026162,92
"366","M145489","M145855",-6.66424328492386,93
"367","M145489","M145856",-13.460358663485,93
"368","M145489","M145857",-17.7974353273541,92
"369","M145489","M145858",-9.18736496684897,93
"370","M145489","M145859",-9.88883334122915,93
"371","M145489","M145860",-13.8778676557361,92
"372","M145489","M145861",-10.7878346383545,93
"373","M145489","M145862",-17.7216454222116,93
"374","M145489","M145863",-20.3399839304054,92
"375","M145489","M145864",-12.0857189229521,91
"376","M145489","M145865",-11.0980273003256,93
"377","M145489","M145866",-13.3566754728712,92
"378","M145489","M145867",-4.57888005666406,93
"379","M145489","M145868",-16.1040654535316,93
"380","M145489","M145869",-19.283920268336,93
"381","M145489","M145870",-12.4538392456612,93
"382","M145489","M145871",-18.6002923163931,93
"383","M145489","M145872",-14.552505929577,93
"384","M145489","M145873",-22.3003178614282,89
"385","M145489","M145874",-8.96475462118837,92
"386","M145489","M145875",-7.29898185871267,93
"387","M145489","M145876",-11.6527552999436,93
"388","M145489","M145877",-8.39038704392521,93
"389","M145489","M145878",-12.5393104989217,93
"390","M145489","M145879",-5.5973408142297,93
"391","M145489","M145880",-17.1758693787967,93
"392","M145489","M145881",-19.0357722525944,93
"393","M145489","M145882",-5.48861553444024,93
"394","M145489","M145883",-10.4257392630034,93
"395","M145489","M145884",-18.0396789493967,91
"396","M145489","M145885",-14.2133254047062,93
"397","M145489","M145886",-7.54753535457805,92
"398","M145489","M145887",-13.7775994670797,93
"399","M145489","M145888",-15.3887522543024,91
"400","M145489","M145889",-16.7482908613031,93
"401","M145489","M145890",-14.9313228068049,93
"402","M145489","M145891",-21.9960768969013,92
"403","M145489","M145892",-11.304210842811,93
"404","M145489","M145893",-12.6767831665276,93
"405","M145489","M145894",-13.1844776019884,92
"406","M145489","M145895",-11.8556353720797,93
"407","M145489","M145896",-22.3237404844416,92
"408","M145489","M145897",-14.7951454597617,93
"409","M145489","M145898",-15.1534361268739,93
"410","M145489","M145899",-7.26236223172363,92
"411","M145489","M145900",-10.4304793069413,93
"412","M145489","M145901",-14.6359172906107,93
"413","M145489","M145902",-18.3057238807089,91
"414","M145489","M145903",-15.4086785517794,93
"415","M145489","M145904",-15.7937489103893,92
"416","M145489","M145905",-7.01371327675684,93
"417","M145489","M145906",-16.7985406314601,93
"418","M145489","M145907",-12.463456628456,93
"419","M145489","M145908",-23.90219668773,92
"420","M145489","M145909",-10.8964538134609,93
"421","M145489","M145910",-19.7829449569893,92
"422","M145489","M145911",-15.8252588022261,92
"423","M145489","M145912",-13.4914987248039,92
"424","M145489","M145913",-18.3629553311656,93
"425","M145489","M145914",-19.8418326099195,93
"426","M145489","M145915",-6.61037284423752,93
"427","M145489","M145916",-15.2334013479426,93
"428","M145489","M145917",-17.2456183661894,93
"429","M145489","M145918",-10.05926179025,93
"430","M145489","M145919",-6.21360506911575,85
"431","M145489","M145920",-12.5378430581466,92
"432","M145489","M145921",-15.8183423987651,91
"433","M145489","M145922",-15.8131175907747,93
"434","M145489","M145923",-10.4494435856798,92
"435","M145489","M145924",-19.7319609540347,93
"436","M145489","M145925",-15.2105000439607,93
"437","M145489","M145926",-25.6125149198878,93
"438","M145489","M145927",-14.5899729121456,93
"439","M145489","M145928",-20.3265636486632,92
"440","M145489","M145929",-18.4897025200278,92
"441","M145489","M145930",-19.7148171254545,92
"442","M145489","M145931",-10.3997977867925,92
"443","M145489","M145932",-12.3849831569482,93
"444","M145489","M145933",-15.9720207349811,91
"445","M145489","M145934",-26.1694233555796,93
"446","M145489","M145935",-16.1257815967735,93
"447","M145489","M145936",-16.3519819674922,93
"448","M145489","M145937",-24.6220437989319,93
"449","M145489","M145938",-9.22850011443713,92
"450","M145489","M145939",-2.25481629220104,92
"451","M145489","M145940",-11.4041878696812,93
"452","M145489","M145941",-17.4699261422693,93
"453","M145489","M145942",-16.3265363062433,92
"454","M145489","M145943",-15.3167204937611,92
"455","M145489","M145944",-13.8377297221994,92
"456","M145489","M145945",-10.2800801047995,93
"457","M145489","M145946",-5.14785760159308,93
"458","M145489","M145947",-19.7699541222737,92
"459","M145489","M145948",-5.32751582105949,91
"460","M145489","M145949",-11.9533025024466,92
"461","M145489","M145950",-7.9447988830131,91
"462","M145489","M145951",-2.29751805763109,93
"463","M145489","M145952",-23.1935254912992,92
"464","M145489","M145953",-18.691210646767,93
"465","M145489","M145954",-8.71508953357517,92
"466","M145489","M145955",-12.5413513476374,93
"467","M145489","M145956",-16.4579283900101,92
"468","M145489","M145957",-10.9187016417252,92
"469","M145489","M145958",3.69943920313781,92
"470","M145489","M145959",-7.49993927108696,92
"471","M145489","M145960",-13.7153147308938,90
"472","M145489","M145961",-16.1965570677092,91
"473","M145489","M145962",-7.2338839746032,92
"474","M145489","M145963",-19.2623481547945,93
"475","M145489","M145964",-12.7381157226107,92
"476","M145489","M145965",-16.7474985694053,80
"477","M145489","M145966",-18.0213613754581,93
"478","M145489","M145967",-13.0217490714695,93
