"","D2_indiv","D1_indiv","logl_ratio","num_loc"
"391","M145802","M145824",12.5639443394588,94
"392","M145808","M145811",12.549789201136,94
"393","M145637","M145667",12.5440375503592,95
"394","M145793","M145798",12.5427570382902,95
"395","M145816","M145825",12.5420621993085,92
"396","M145708","M145712",12.5251030477394,91
"397","M145802","M145816",12.4957192831866,94
"398","M145833","M145837",12.4815997056225,95
"399","M145790","M145822",12.4772386450408,93
"400","M145501","M145542",12.4471193684593,93
"401","M145821","M145831",12.4072594536253,94
"402","M145740","M145742",12.4033469134435,94
"403","M145501","M145767",12.393079788643,91
"404","M145718","M145738",12.3768509824959,93
"405","M145808","M145815",12.3714236170801,93
"406","M145808","M145809",12.3553143721566,94
"407","M145790","M145811",12.3498068562967,93
"408","M145707","M145740",12.3111781897334,95
"409","M145524","M145560",12.2867748520696,92
"410","M145742","M145763",12.266255437574,92
"411","M145726","M145768",12.2304473662181,92
"412","M145739","M145762",12.2261144797373,94
"413","M145755","M145758",12.2092190240729,91
"414","M145748","M145750",12.2051404046613,93
"415","M145751","M145787",12.1511304667684,92
"416","M145539","M145541",12.146958006353,92
"417","M145702","M145736",12.1319983103509,89
"418","M145543","M145550",12.1260543971531,94
"419","M145702","M145718",12.1220454099678,90
"420","M145726","M145733",12.1172171046701,91
"421","M145603","M145675",12.0911370429436,94
"422","M145572","M145584",12.0756262101242,93
"423","M145720","M145721",12.0729562269615,94
"424","M145545","M145592",12.0487967775543,78
"425","M145790","M145809",12.0397835287737,93
"426","M145795","M145803",12.0258038123113,95
"427","M145494","M145560",12.0001310880359,91
