"","LocationYear","Date","Treatment","Treatment.Temp","Fish.Sample","Start.Temp_C","LOE.Temp_C","Length_mm","Mass_g","Fultons","Lethal.Take","Location","mean_mean","mean_min","mean_max","mean_sd","hist_julymean"
"56","Big Sur 2024",2024-08-29,"2",20,"BC-56",20.3,30.8,121,18.1,"1.0216978","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"57","Big Sur 2024",2024-08-29,"2",20,"BC-57",20.3,30.9,96,9.8,"1.1076751","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"58","Big Sur 2024",2024-08-29,"2",20,"BC-58",20.3,30.9,89,5.5,"0.7801761","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"59","Big Sur 2024",2024-08-29,"2",20,"BC-59",20.3,31.1,112,16.5,"1.1744374","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"60","Big Sur 2024",2024-08-29,"2",20,"BC-60",20.4,30.5,209,96.4,"1.0559374","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"61","Big Sur 2024",2024-08-29,"2",20,"BC-61",20.4,30.6,112,13.7,"0.9751389","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"62","Big Sur 2024",2024-08-29,"2",20,"BC-62",20.4,30.9,109,13,"1.0038385","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"63","Big Sur 2024",2024-08-29,"2",20,"BC-63",20.4,31.1,118,16.7,"1.0164136","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"64","Big Sur 2024",2024-08-29,"2",20,"BC-64",20.4,31.1,125,21.1,"1.08032","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"65","Big Sur 2024",2024-08-29,"2",20,"BC-65",20.4,31.2,107,14,"1.142817","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
