"","LocationYear","Location","Date_Time","Date","Time","Temp_C","Year","n_day"
"77","Big Sur 2024","Big Sur",2024-08-19 18:20:00,2024-08-19,18:20:00,16.47,"2024",2043
"78","Big Sur 2024","Big Sur",2024-08-19 18:25:00,2024-08-19,18:25:00,16.47,"2024",2043
"79","Big Sur 2024","Big Sur",2024-08-19 18:30:00,2024-08-19,18:30:00,16.43,"2024",2043
"80","Big Sur 2024","Big Sur",2024-08-19 18:35:00,2024-08-19,18:35:00,16.47,"2024",2043
"81","Big Sur 2024","Big Sur",2024-08-19 18:40:00,2024-08-19,18:40:00,16.34,"2024",2043
"82","Big Sur 2024","Big Sur",2024-08-19 18:45:00,2024-08-19,18:45:00,16.43,"2024",2043
"83","Big Sur 2024","Big Sur",2024-08-19 18:50:00,2024-08-19,18:50:00,16.34,"2024",2043
"84","Big Sur 2024","Big Sur",2024-08-19 18:55:00,2024-08-19,18:55:00,16.39,"2024",2043
"85","Big Sur 2024","Big Sur",2024-08-19 19:00:00,2024-08-19,19:00:00,16.34,"2024",2043
"86","Big Sur 2024","Big Sur",2024-08-19 19:05:00,2024-08-19,19:05:00,16.34,"2024",2043
"87","Big Sur 2024","Big Sur",2024-08-19 19:10:00,2024-08-19,19:10:00,16.34,"2024",2043
"88","Big Sur 2024","Big Sur",2024-08-19 19:15:00,2024-08-19,19:15:00,16.26,"2024",2043
"89","Big Sur 2024","Big Sur",2024-08-19 19:20:00,2024-08-19,19:20:00,16.3,"2024",2043
"90","Big Sur 2024","Big Sur",2024-08-19 19:25:00,2024-08-19,19:25:00,16.3,"2024",2043
"91","Big Sur 2024","Big Sur",2024-08-19 19:30:00,2024-08-19,19:30:00,16.21,"2024",2043
"92","Big Sur 2024","Big Sur",2024-08-19 19:35:00,2024-08-19,19:35:00,16.26,"2024",2043
"93","Big Sur 2024","Big Sur",2024-08-19 19:40:00,2024-08-19,19:40:00,16.21,"2024",2043
"94","Big Sur 2024","Big Sur",2024-08-19 19:45:00,2024-08-19,19:45:00,16.21,"2024",2043
"95","Big Sur 2024","Big Sur",2024-08-19 19:50:00,2024-08-19,19:50:00,16.17,"2024",2043
"96","Big Sur 2024","Big Sur",2024-08-19 19:55:00,2024-08-19,19:55:00,16.21,"2024",2043
"97","Big Sur 2024","Big Sur",2024-08-19 20:00:00,2024-08-19,20:00:00,16.17,"2024",2043
"98","Big Sur 2024","Big Sur",2024-08-19 20:05:00,2024-08-19,20:05:00,16.17,"2024",2043
"99","Big Sur 2024","Big Sur",2024-08-19 20:10:00,2024-08-19,20:10:00,16.17,"2024",2043
"100","Big Sur 2024","Big Sur",2024-08-19 20:15:00,2024-08-19,20:15:00,16.13,"2024",2043
"101","Big Sur 2024","Big Sur",2024-08-19 20:20:00,2024-08-19,20:20:00,16.13,"2024",2043
"102","Big Sur 2024","Big Sur",2024-08-19 20:25:00,2024-08-19,20:25:00,16.13,"2024",2043
"103","Big Sur 2024","Big Sur",2024-08-19 20:30:00,2024-08-19,20:30:00,16.13,"2024",2043
"104","Big Sur 2024","Big Sur",2024-08-19 20:35:00,2024-08-19,20:35:00,16.08,"2024",2043
"105","Big Sur 2024","Big Sur",2024-08-19 20:40:00,2024-08-19,20:40:00,16.13,"2024",2043
"106","Big Sur 2024","Big Sur",2024-08-19 20:45:00,2024-08-19,20:45:00,16.08,"2024",2043
"107","Big Sur 2024","Big Sur",2024-08-19 20:50:00,2024-08-19,20:50:00,16.08,"2024",2043
"108","Big Sur 2024","Big Sur",2024-08-19 20:55:00,2024-08-19,20:55:00,16,"2024",2043
"109","Big Sur 2024","Big Sur",2024-08-19 21:00:00,2024-08-19,21:00:00,16.08,"2024",2043
"110","Big Sur 2024","Big Sur",2024-08-19 21:05:00,2024-08-19,21:05:00,16.04,"2024",2043
"111","Big Sur 2024","Big Sur",2024-08-19 21:10:00,2024-08-19,21:10:00,16.04,"2024",2043
"112","Big Sur 2024","Big Sur",2024-08-19 21:15:00,2024-08-19,21:15:00,16,"2024",2043
"113","Big Sur 2024","Big Sur",2024-08-19 21:20:00,2024-08-19,21:20:00,16,"2024",2043
"114","Big Sur 2024","Big Sur",2024-08-19 21:25:00,2024-08-19,21:25:00,16.04,"2024",2043
"115","Big Sur 2024","Big Sur",2024-08-19 21:30:00,2024-08-19,21:30:00,16,"2024",2043
"116","Big Sur 2024","Big Sur",2024-08-19 21:35:00,2024-08-19,21:35:00,16,"2024",2043
"117","Big Sur 2024","Big Sur",2024-08-19 21:40:00,2024-08-19,21:40:00,16.04,"2024",2043
"118","Big Sur 2024","Big Sur",2024-08-19 21:45:00,2024-08-19,21:45:00,16,"2024",2043
"119","Big Sur 2024","Big Sur",2024-08-19 21:50:00,2024-08-19,21:50:00,16,"2024",2043
"120","Big Sur 2024","Big Sur",2024-08-19 21:55:00,2024-08-19,21:55:00,15.96,"2024",2043
"121","Big Sur 2024","Big Sur",2024-08-19 22:00:00,2024-08-19,22:00:00,15.96,"2024",2043
"122","Big Sur 2024","Big Sur",2024-08-19 22:05:00,2024-08-19,22:05:00,15.96,"2024",2043
"123","Big Sur 2024","Big Sur",2024-08-19 22:10:00,2024-08-19,22:10:00,15.91,"2024",2043
"124","Big Sur 2024","Big Sur",2024-08-19 22:15:00,2024-08-19,22:15:00,15.91,"2024",2043
